Date,Open,High,Low,Close,Adj Close,Volume
2015-07-29,11712.000000,12152.000000,10560.000000,10864.000000,10817.000977,5496900
2015-07-30,11440.000000,12112.000000,11000.000000,11904.000000,11852.501953,5254200
2015-07-31,11000.000000,11592.000000,10784.000000,11256.000000,11207.305664,4500200
2015-08-03,11584.000000,12464.000000,11376.000000,12184.000000,12131.291016,3612100
2015-08-04,11960.000000,12384.000000,11440.000000,11896.000000,11844.537109,3304100
2015-08-05,11568.000000,12864.000000,11424.000000,12688.000000,12633.110352,3349700
2015-08-06,12472.000000,12616.000000,11328.000000,11760.000000,11709.125977,4064000
2015-08-07,11880.000000,12088.000000,10632.000000,11856.000000,11804.708984,4431400
2015-08-10,11624.000000,11968.000000,9840.000000,9968.000000,9924.877930,5360400
2015-08-11,9696.000000,10224.000000,8880.000000,8888.000000,8849.549805,4111800
2015-08-12,8304.000000,8432.000000,6760.000000,6768.000000,6738.721191,8300
2015-08-13,7480.000000,8160.000000,7152.000000,7864.000000,7829.979492,6348200
2015-08-14,7616.000000,8472.000000,7392.000000,8000.000000,7965.391113,5253200
2015-08-17,7656.000000,7760.000000,7224.000000,7368.000000,7336.125488,3950100
2015-08-18,7896.000000,8200.000000,7600.000000,7872.000000,7837.945313,5062600
2015-08-19,7592.000000,7656.000000,7016.000000,7056.000000,7025.475098,5222500
2015-08-20,6392.000000,6576.000000,6016.000000,6376.000000,6348.416992,6231200
2015-08-21,6136.000000,7288.000000,6080.000000,7088.000000,7057.336426,6118500
2015-08-24,7360.000000,8968.000000,7264.000000,8816.000000,8777.860352,6673600
2015-08-25,8008.000000,9696.000000,8000.000000,9424.000000,9383.231445,5598500
2015-08-26,9936.000000,11024.000000,9808.000000,10912.000000,10864.793945,4947700
2015-08-27,10664.000000,10936.000000,8552.000000,8936.000000,8897.341797,5637500
2015-08-28,8704.000000,8704.000000,7208.000000,7456.000000,7423.744629,7657500
2015-08-31,7912.000000,8456.000000,7536.000000,7664.000000,7630.844727,5389400
2015-09-01,7336.000000,8344.000000,7144.000000,8280.000000,8244.179688,6800
2015-09-02,8168.000000,8848.000000,7736.000000,8416.000000,8379.591797,6600
2015-09-03,8936.000000,8976.000000,7824.000000,8912.000000,8873.446289,6852800
2015-09-04,9200.000000,9432.000000,8528.000000,8624.000000,8586.691406,4487400
2015-09-08,8352.000000,8768.000000,8056.000000,8312.000000,8276.041016,4252700
2015-09-09,8784.000000,9304.000000,8408.000000,9096.000000,9056.650391,5313000
2015-09-10,8864.000000,9320.000000,8680.000000,9168.000000,9128.338867,2800
2015-09-11,9448.000000,10048.000000,8648.000000,8856.000000,8817.688477,5400
2015-09-14,9032.000000,9264.000000,8376.000000,8640.000000,8602.623047,4698300
2015-09-15,8672.000000,8880.000000,8344.000000,8704.000000,8666.345703,2977300
2015-09-16,8144.000000,8200.000000,7160.000000,7224.000000,7192.748047,6358200
2015-09-17,7480.000000,7584.000000,6368.000000,6424.000000,6396.208984,6479400
2015-09-18,6176.000000,6776.000000,5960.000000,6504.000000,6475.862793,5904900
2015-09-21,6760.000000,7184.000000,6640.000000,7168.000000,7136.990723,5082400
2015-09-22,7600.000000,7992.000000,7424.000000,7864.000000,7829.979492,5120800
2015-09-23,7456.000000,8080.000000,7376.000000,8000.000000,7965.391113,3127100
2015-09-24,7496.000000,7592.000000,6456.000000,6776.000000,6746.686523,6219800
2015-09-25,7120.000000,7360.000000,6856.000000,7216.000000,7184.783203,4148900
2015-09-28,7800.000000,8264.000000,7512.000000,8104.000000,8068.941406,4227800
2015-09-29,7928.000000,8312.000000,7544.000000,8088.000000,8053.010742,3106900
2015-09-30,8408.000000,8448.000000,7688.000000,7712.000000,7678.637207,4124400
2015-10-01,7678.000000,8366.000000,7252.000000,8180.000000,8144.612793,2800
2015-10-02,7398.000000,7398.000000,6530.000000,6548.000000,6519.672852,5300
2015-10-05,6490.000000,6522.000000,6082.000000,6236.000000,6209.022461,4800
2015-10-06,5750.000000,6000.000000,5482.000000,5718.000000,5693.263672,6500
2015-10-07,5620.000000,6056.000000,5586.000000,5704.000000,5679.324219,4800
2015-10-08,6020.000000,6116.000000,5312.000000,6042.000000,6015.861816,6700
2015-10-09,5440.000000,5640.000000,5060.000000,5146.000000,5123.738281,8500
2015-10-12,4770.000000,5520.000000,4770.000000,5284.000000,5261.141113,5400
2015-10-13,5382.000000,5552.000000,5050.000000,5420.000000,5396.552246,5400
2015-10-14,5060.000000,5100.000000,4116.000000,4210.000000,4191.787598,14700
2015-10-15,4440.000000,4544.000000,4016.000000,4154.000000,4136.029297,8700
2015-10-16,4208.000000,4588.000000,4110.000000,4564.000000,4544.255859,8400
2015-10-19,4652.000000,5348.000000,4610.000000,5180.000000,5157.590332,10400
2015-10-20,5020.000000,5054.000000,4356.000000,4602.000000,4582.091797,9000
2015-10-21,4680.000000,5070.000000,4670.000000,4900.000000,4878.801758,6100
2015-10-22,5030.000000,5044.000000,4578.000000,4822.000000,4801.139160,768800
2015-10-23,4646.000000,4974.000000,4304.000000,4410.000000,4390.922363,1541300
2015-10-26,4422.000000,4784.000000,4406.000000,4730.000000,4709.537598,935900
2015-10-27,4892.000000,5050.000000,4666.000000,4798.000000,4777.243652,900700
2015-10-28,4500.000000,5232.000000,4204.000000,4984.000000,4962.438965,2316100
2015-10-29,5248.000000,5814.000000,5128.000000,5718.000000,5693.263672,1414800
2015-10-30,5798.000000,5878.000000,5448.000000,5812.000000,5786.856934,4800
2015-11-02,6000.000000,6220.000000,5616.000000,5780.000000,5754.995117,5700
2015-11-03,6066.000000,6236.000000,5726.000000,5850.000000,5824.691895,1268100
2015-11-04,5740.000000,6200.000000,5488.000000,6132.000000,6105.472656,1192000
2015-11-05,6076.000000,6628.000000,6076.000000,6484.000000,6455.949707,5800
2015-11-06,7120.000000,7396.000000,7056.000000,7252.000000,7220.627441,4600
2015-11-09,7380.000000,7486.000000,6736.000000,6766.000000,6736.729980,3300
2015-11-10,7060.000000,7300.000000,6828.000000,7098.000000,7067.293457,2600
2015-11-11,7136.000000,7228.000000,6688.000000,6808.000000,6778.547852,2200
2015-11-12,7280.000000,7304.000000,6646.000000,6986.000000,6955.778320,3100
2015-11-13,7090.000000,7198.000000,6606.000000,6812.000000,6782.531250,2500
2015-11-16,6740.000000,6772.000000,6480.000000,6676.000000,6647.118652,1800
2015-11-17,6840.000000,7684.000000,6792.000000,7466.000000,7433.701660,4000
2015-11-18,7460.000000,7960.000000,7022.000000,7118.000000,7087.207031,3200
2015-11-19,6830.000000,6952.000000,6336.000000,6490.000000,6461.923340,4000
2015-11-20,6466.000000,7376.000000,6426.000000,7132.000000,7101.146484,3900
2015-11-23,7360.000000,7426.000000,7134.000000,7344.000000,7312.229004,1400
2015-11-24,6996.000000,7096.000000,6474.000000,6762.000000,6732.747070,2300
2015-11-25,6952.000000,7104.000000,6572.000000,6776.000000,6746.686523,2500
2015-11-27,7300.000000,7370.000000,7036.000000,7166.000000,7134.999023,2100
2015-11-30,7216.000000,7236.000000,6844.000000,6944.000000,6913.959473,2100
2015-12-01,6796.000000,6954.000000,6378.000000,6470.000000,6442.010254,3200
2015-12-02,6902.000000,7100.000000,6714.000000,6882.000000,6852.228027,3000
2015-12-03,6658.000000,6954.000000,6344.000000,6412.000000,6384.261230,2200
2015-12-04,6120.000000,6178.000000,5570.000000,5628.000000,5603.652832,3700
2015-12-07,5838.000000,6576.000000,5814.000000,6230.000000,6203.048340,3400
2015-12-08,6210.000000,6570.000000,5984.000000,6356.000000,6328.503418,1700
2015-12-09,6000.000000,6298.000000,5808.000000,6128.000000,6101.489746,2900
2015-12-10,6308.000000,6370.000000,6000.000000,6170.000000,6143.308105,2100
2015-12-11,6412.000000,6440.000000,5938.000000,6052.000000,6025.818848,464000
2015-12-14,6146.000000,6796.000000,6072.000000,6702.000000,6673.006348,510300
2015-12-15,6544.000000,6792.000000,6428.000000,6594.000000,6565.473633,1700
2015-12-16,6222.000000,6374.000000,5688.000000,5706.000000,5681.315430,4100
2015-12-17,6280.000000,6674.000000,6264.000000,6606.000000,6577.421875,3800
2015-12-18,6292.000000,6340.000000,5954.000000,6102.000000,6075.602051,412600
2015-12-21,5850.000000,6000.000000,5750.000000,5894.000000,5868.502441,409600
2015-12-22,5986.000000,6078.000000,5740.000000,5952.000000,5926.250977,292700
2015-12-23,5980.000000,6014.000000,5630.000000,5704.000000,5679.324219,300700
2015-12-24,5600.000000,5600.000000,5224.000000,5256.000000,5233.262207,357200
2015-12-28,5500.000000,5904.000000,5500.000000,5764.000000,5739.064453,458600
2015-12-29,5552.000000,5728.000000,5464.000000,5594.000000,5569.799805,1600
2015-12-30,5924.000000,6058.000000,5860.000000,5976.000000,5950.146973,2500
2015-12-31,5986.000000,6078.000000,5814.000000,5948.000000,5922.268555,228800
2016-01-04,5524.000000,5666.000000,5186.000000,5420.000000,5396.552246,648900
2016-01-05,5362.000000,5486.000000,5274.000000,5360.000000,5336.812500,319200
2016-01-06,5220.000000,5250.000000,5050.000000,5118.000000,5095.858887,527500
2016-01-07,4800.000000,5026.000000,4528.000000,4736.000000,4715.511719,797700
2016-01-08,5060.000000,5404.000000,4986.000000,5130.000000,5107.807129,817000
2016-01-11,5118.000000,5816.000000,5070.000000,5686.000000,5661.401855,645900
2016-01-12,5900.000000,6492.000000,5892.000000,6148.000000,6121.403320,3800
2016-01-13,6300.000000,6460.000000,5826.000000,6208.000000,6181.143066,2100
2016-01-14,6406.000000,7000.000000,6286.000000,6854.000000,6824.349121,2000
2016-01-15,6200.000000,7098.000000,6200.000000,6998.000000,6967.726563,451600
2016-01-19,6932.000000,8054.000000,6814.000000,7992.000000,7957.425781,515400
2016-01-20,7634.000000,8340.000000,7476.000000,7534.000000,7501.407227,328100
2016-01-21,7848.000000,8170.000000,7312.000000,7468.000000,7435.693359,285100
2016-01-22,7710.000000,7730.000000,6898.000000,7220.000000,7188.765625,326000
2016-01-25,6964.000000,7130.000000,6700.000000,6876.000000,6846.253906,237600
2016-01-26,6682.000000,6706.000000,5886.000000,5962.000000,5936.208008,441900
2016-01-27,6012.000000,6140.000000,5550.000000,5630.000000,5605.644531,3200
2016-01-28,5880.000000,5974.000000,5634.000000,5920.000000,5894.389648,2200
2016-01-29,6006.000000,6154.000000,5586.000000,5648.000000,5623.565918,1500
2016-02-01,5452.000000,5516.000000,5092.000000,5132.000000,5109.798828,431100
2016-02-02,5278.000000,5672.000000,5056.000000,5460.000000,5436.379883,439000
2016-02-03,5362.000000,5362.000000,4540.000000,4702.000000,4681.658691,893900
2016-02-04,4266.000000,4294.000000,3900.000000,4232.000000,4213.691895,957000
2016-02-05,4400.000000,4548.000000,3600.000000,3606.000000,3590.400146,1190400
2016-02-08,3270.000000,3282.000000,2914.000000,3146.000000,3132.390137,1360100
2016-02-09,2980.000000,3554.000000,2972.000000,3554.000000,3538.625244,1216800
2016-02-10,3550.000000,3836.000000,3372.000000,3396.000000,3381.308594,5900
2016-02-11,2648.000000,2900.000000,2344.000000,2506.000000,2495.158936,12800
2016-02-12,2672.000000,2718.000000,2220.000000,2222.000000,2212.387451,1665000
2016-02-16,2546.000000,2782.000000,2378.000000,2774.000000,2761.999512,1548200
2016-02-17,2640.000000,2640.000000,2346.000000,2426.000000,2415.505127,1563300
2016-02-18,2508.000000,2530.000000,1866.000000,1890.000000,1881.823730,3219800
2016-02-19,1958.000000,2084.000000,1930.000000,2048.000000,2039.140137,1623400
2016-02-22,2274.000000,2300.000000,2052.000000,2138.000000,2128.750732,1477900
2016-02-23,2032.000000,2132.000000,1942.000000,2054.000000,2045.114136,1234800
2016-02-24,1836.000000,2028.000000,1692.000000,1924.000000,1915.676636,3508900
2016-02-25,1962.000000,1966.000000,1800.000000,1802.000000,1794.204346,1462600
2016-02-26,1918.000000,2010.000000,1816.000000,1970.000000,1961.477661,1997300
2016-02-29,1914.000000,1914.000000,1724.000000,1732.000000,1724.507202,1679300
2016-03-01,1692.000000,1924.000000,1676.000000,1906.000000,1897.754517,2432500
2016-03-02,1896.000000,1918.000000,1730.000000,1748.000000,1740.437988,1554700
2016-03-03,1732.000000,1748.000000,1390.000000,1420.000000,1413.856934,3730700
2016-03-04,1420.000000,1462.000000,1172.000000,1452.000000,1445.718506,6660900
2016-03-07,1390.000000,1398.000000,1202.000000,1254.000000,1248.575073,4180000
2016-03-08,1202.000000,1432.000000,1190.000000,1428.000000,1421.822266,4051600
2016-03-09,1550.000000,1610.000000,1394.000000,1454.000000,1447.709961,4151300
2016-03-10,1378.000000,1378.000000,1254.000000,1268.000000,1262.514404,2929100
2016-03-11,1300.000000,1398.000000,1244.000000,1384.000000,1378.012695,3355200
2016-03-14,1376.000000,1536.000000,1348.000000,1526.000000,1519.398438,3397900
2016-03-15,1564.000000,1666.000000,1462.000000,1480.000000,1473.597412,3613700
2016-03-16,1532.000000,1592.000000,1102.000000,1124.000000,1119.137451,5542200
2016-03-17,1064.000000,1222.000000,1018.000000,1212.000000,1206.756714,7463600
2016-03-18,1200.000000,1210.000000,1088.000000,1140.000000,1135.068237,5329300
2016-03-21,1168.000000,1180.000000,1064.000000,1128.000000,1123.120117,2908400
2016-03-22,1068.000000,1158.000000,1042.000000,1104.000000,1099.224121,3848200
2016-03-23,1234.000000,1328.000000,1188.000000,1322.000000,1316.280884,6983600
2016-03-24,1288.000000,1356.000000,1246.000000,1294.000000,1288.402100,3346400
2016-03-28,1262.000000,1388.000000,1246.000000,1308.000000,1302.341431,2630100
2016-03-29,1260.000000,1314.000000,1052.000000,1062.000000,1057.405640,5688100
2016-03-30,1096.000000,1160.000000,1046.000000,1110.000000,1105.198120,4754400
2016-03-31,1052.000000,1164.000000,1044.000000,1140.000000,1135.068237,3224300
2016-04-01,1250.000000,1262.000000,1078.000000,1092.000000,1087.275879,4617700
2016-04-04,1108.000000,1186.000000,1104.000000,1174.000000,1168.921265,3410100
2016-04-05,1080.000000,1178.000000,1070.000000,1076.000000,1071.345215,3795700
2016-04-06,1116.000000,1122.000000,1048.000000,1064.000000,1059.397095,4110600
2016-04-07,1006.000000,1014.000000,960.000000,976.000000,971.777771,4623600
2016-04-08,980.000000,990.000000,852.000000,864.000000,860.262268,6248900
2016-04-11,802.000000,810.000000,668.000000,684.000000,681.040955,8841300
2016-04-12,674.000000,722.000000,642.000000,654.000000,651.170715,7649900
2016-04-13,690.000000,708.000000,644.000000,698.000000,694.980469,7998600
2016-04-14,708.000000,800.000000,690.000000,762.000000,758.703552,8471000
2016-04-15,750.000000,776.000000,656.000000,664.000000,661.127441,6350000
2016-04-18,640.000000,684.000000,634.000000,656.000000,653.162048,4010100
2016-04-19,568.000000,578.000000,500.000000,514.000000,511.776367,10707800
2016-04-20,518.000000,574.000000,474.000000,566.000000,563.551392,13711100
2016-04-21,492.000000,550.000000,480.000000,522.000000,519.741760,13404800
2016-04-22,540.000000,588.000000,500.000000,566.000000,563.551392,11974200
2016-04-25,552.000000,594.000000,532.000000,580.000000,577.490906,6660500
2016-04-26,562.000000,588.000000,512.000000,514.000000,511.776367,9494700
2016-04-27,504.000000,546.000000,484.000000,504.000000,501.819641,9453800
2016-04-28,478.000000,494.000000,426.000000,436.000000,434.113831,13987600
2016-04-29,406.000000,410.000000,358.000000,360.000000,358.442596,17142600
2016-05-02,350.000000,386.000000,348.000000,374.000000,372.382050,14014900
2016-05-03,370.000000,416.000000,366.000000,406.000000,404.243622,14138700
2016-05-04,430.000000,488.000000,402.000000,478.000000,475.932129,15584500
2016-05-05,458.000000,468.000000,420.000000,432.000000,430.131134,10330100
2016-05-06,404.000000,410.000000,350.000000,364.000000,362.425323,16081000
2016-05-09,410.000000,442.000000,408.000000,442.000000,440.087860,14470800
2016-05-10,436.000000,460.000000,390.000000,396.000000,394.286865,11092900
2016-05-11,364.000000,408.000000,340.000000,354.000000,352.468567,83400
2016-05-12,352.000000,378.000000,334.000000,368.000000,366.407990,57000
2016-05-13,370.000000,380.000000,342.000000,358.000000,356.451233,11441000
2016-05-16,330.000000,346.000000,314.000000,336.000000,334.546448,13667800
2016-05-17,330.000000,340.000000,292.000000,304.000000,302.684875,18407900
2016-05-18,324.799988,376.799988,308.600006,376.799988,375.169922,4026700
2016-05-19,409.600006,425.799988,347.200012,362.799988,361.230469,4288300
2016-05-20,350.399994,395.200012,343.799988,352.000000,350.477203,3288800
2016-05-23,375.000000,384.399994,348.600006,369.399994,367.801941,2838400
2016-05-24,395.399994,453.799988,387.799988,451.000000,449.048950,4275900
2016-05-25,458.000000,484.399994,392.200012,402.200012,400.460052,4250900
2016-05-26,378.799988,421.000000,370.000000,410.000000,408.226318,3145900
2016-05-27,424.000000,474.399994,414.799988,469.200012,467.170197,4760800
2016-05-31,471.000000,486.000000,402.000000,429.399994,427.542389,3574500
2016-06-01,420.000000,457.600006,402.000000,431.000000,429.135437,3422100
2016-06-02,434.600006,446.000000,410.799988,430.200012,428.338959,2371800
2016-06-03,342.600006,343.000000,271.799988,272.600006,271.420715,7225900
2016-06-06,272.799988,288.600006,256.000000,258.000000,256.883850,3716200
2016-06-07,268.200012,272.000000,254.199997,267.200012,266.044067,3580900
2016-06-08,231.399994,239.600006,217.399994,231.000000,230.000671,5108000
2016-06-09,233.000000,237.199997,214.600006,218.000000,217.056915,4247500
2016-06-10,212.600006,232.399994,205.199997,228.399994,227.411911,5367400
2016-06-13,209.000000,238.600006,208.000000,226.199997,225.221436,4658800
2016-06-14,224.399994,249.800003,224.199997,239.199997,238.165192,4321900
2016-06-15,237.600006,243.800003,200.600006,208.000000,207.100174,5579300
2016-06-16,188.399994,232.800003,188.399994,227.000000,226.017975,5184100
2016-06-17,214.000000,232.000000,210.000000,215.399994,214.468155,5271100
2016-06-20,235.399994,237.800003,205.199997,210.800003,209.888062,3731300
2016-06-21,225.000000,231.199997,218.600006,229.800003,228.805862,3701900
2016-06-22,229.399994,240.399994,222.199997,223.800003,222.831818,2814500
2016-06-23,225.000000,229.199997,213.199997,223.600006,222.632690,3114100
2016-06-24,155.800003,199.000000,155.800003,191.600006,190.771133,5043200
2016-06-27,189.600006,203.399994,180.399994,191.000000,190.173721,4233000
2016-06-28,206.199997,206.600006,194.399994,201.000000,200.130447,174400
2016-06-29,190.600006,191.399994,176.000000,185.800003,184.996231,4496000
2016-06-30,181.000000,189.000000,176.600006,177.600006,176.831696,3134500
2016-07-01,162.600006,166.000000,140.399994,143.000000,142.381363,6164100
2016-07-05,139.800003,144.600006,127.199997,130.000000,129.437607,5807900
2016-07-06,123.400002,124.400002,112.000000,112.400002,111.913742,9805600
2016-07-07,117.800003,126.800003,117.800003,123.599998,123.065292,8094000
2016-07-08,122.599998,126.199997,105.800003,106.000000,105.541435,8996900
2016-07-11,110.199997,111.800003,101.199997,104.000000,103.550087,7909800
2016-07-12,107.000000,118.199997,103.800003,117.000000,116.493843,9772000
2016-07-13,110.800003,113.000000,97.599998,101.000000,100.563065,9009800
2016-07-14,111.599998,112.199997,102.000000,102.000000,101.558739,9901200
2016-07-15,108.000000,108.800003,102.400002,107.199997,106.736237,7523200
2016-07-18,108.199997,112.800003,105.800003,107.800003,107.333656,5400000
2016-07-19,110.199997,115.400002,108.400002,114.800003,114.303375,4354300
2016-07-20,125.000000,143.199997,125.000000,140.800003,140.190903,11373900
2016-07-21,136.199997,138.000000,116.800003,119.000000,118.485199,10003400
2016-07-22,124.400002,126.400002,120.000000,122.599998,122.069618,6121700
2016-07-25,129.600006,141.199997,129.000000,139.000000,138.398666,10786500
2016-07-26,129.600006,133.199997,118.199997,123.800003,123.264435,7153000
2016-07-27,117.599998,128.399994,100.000000,103.199997,102.753548,12964300
2016-07-28,100.199997,107.800003,98.400002,101.199997,100.762192,10477200
2016-07-29,93.599998,96.599998,86.000000,89.199997,88.814110,15209200
2016-08-01,89.000000,91.599998,83.800003,84.599998,84.234009,8325100
2016-08-02,81.000000,85.800003,79.800003,84.599998,84.234009,8122700
2016-08-03,86.000000,90.599998,85.400002,86.400002,86.026222,8528700
2016-08-04,84.800003,85.000000,80.599998,83.000000,82.640930,6570900
2016-08-05,91.000000,94.000000,89.199997,91.599998,91.203720,12827900
2016-08-08,91.800003,92.199997,83.599998,86.800003,86.424500,9018200
2016-08-09,86.000000,87.000000,82.000000,84.400002,84.034874,5507500
2016-08-10,77.199997,83.400002,76.400002,80.400002,80.052185,9992700
2016-08-11,80.199997,82.800003,75.800003,82.800003,82.441803,10944100
2016-08-12,76.400002,84.199997,76.000000,82.599998,82.242661,12780200
2016-08-15,81.599998,84.000000,79.400002,82.400002,82.043533,6066200
2016-08-16,81.199997,83.000000,79.599998,81.400002,81.047859,9118800
2016-08-17,83.599998,89.800003,81.000000,84.599998,84.234009,13939600
2016-08-18,81.599998,84.000000,79.199997,79.199997,78.857368,7683200
2016-08-19,84.599998,87.199997,83.000000,86.800003,86.424500,8757300
2016-08-22,92.000000,94.000000,89.800003,92.400002,92.000275,8187600
2016-08-23,88.400002,99.199997,88.000000,98.400002,97.974312,8634300
2016-08-24,103.199997,123.000000,103.199997,122.599998,122.069618,15985700
2016-08-25,120.959999,127.279999,102.000000,110.000000,109.524132,3223200
2016-08-26,102.559998,116.919998,94.160004,112.360001,111.873924,6029900
2016-08-29,117.440002,119.080002,107.440002,111.480003,110.997734,2553100
2016-08-30,115.760002,133.600006,112.800003,129.960007,129.397797,4725000
2016-08-31,136.119995,143.639999,132.199997,139.119995,138.518143,4817200
2016-09-01,142.759995,145.720001,117.800003,119.680000,119.162254,4033300
2016-09-02,104.360001,114.000000,98.559998,99.040001,98.611542,4383400
2016-09-06,91.199997,94.199997,79.400002,79.400002,79.056511,5327000
2016-09-07,80.519997,90.599998,80.519997,81.919998,81.565605,6703100
2016-09-08,84.680000,89.360001,81.480003,86.559998,86.185532,7301400
2016-09-09,91.800003,106.680000,89.519997,105.519997,105.063515,9920500
2016-09-12,111.480003,112.959999,86.959999,90.440002,90.048752,8476900
2016-09-13,95.360001,106.360001,92.000000,102.879997,102.434929,7175000
2016-09-14,97.160004,101.480003,90.160004,100.680000,100.244453,5241300
2016-09-15,102.239998,106.360001,92.800003,99.559998,99.129288,7196700
2016-09-16,104.800003,108.120003,97.239998,105.800003,105.342308,6795000
2016-09-19,99.279999,104.320000,97.559998,102.199997,101.757874,5311800
2016-09-20,103.040001,105.599998,99.480003,101.800003,101.359604,2727500
2016-09-21,95.080002,96.800003,76.879997,78.480003,78.140495,7142900
2016-09-22,74.879997,83.599998,72.839996,81.760002,81.406303,6371400
2016-09-23,83.080002,92.879997,81.320000,90.480003,90.088577,7642500
2016-09-26,88.239998,94.639999,84.919998,93.559998,93.155258,5055900
2016-09-27,97.760002,103.959999,95.519997,99.720001,99.288605,6224600
2016-09-28,99.360001,107.720001,87.199997,90.760002,90.367371,7245200
2016-09-29,94.440002,96.879997,90.440002,93.080002,92.677330,7161200
2016-09-30,87.199997,97.680000,86.519997,95.959999,95.544868,6453200
2016-10-03,98.000000,105.400002,94.720001,101.120003,100.682556,6033600
2016-10-04,111.680000,134.039993,111.559998,132.800003,132.225494,9758900
2016-10-05,124.919998,147.520004,122.639999,131.199997,130.632416,6916300
2016-10-06,146.119995,152.880005,139.479996,147.039993,146.403870,6668600
2016-10-07,129.320007,152.080002,124.559998,140.279999,139.673141,6859600
2016-10-10,134.479996,139.679993,131.199997,134.639999,134.057541,3737200
2016-10-11,140.279999,148.479996,136.639999,147.800003,147.160614,4954300
2016-10-12,146.199997,147.919998,132.720001,136.720001,136.128555,4767200
2016-10-13,135.199997,138.360001,115.599998,126.760002,126.211632,6209100
2016-10-14,134.720001,138.679993,123.199997,136.479996,135.889572,6758700
2016-10-17,133.559998,138.759995,127.639999,130.880005,130.313797,4200700
2016-10-18,122.599998,127.279999,111.400002,111.919998,111.435822,5972100
2016-10-19,104.480003,109.120003,98.599998,100.680000,100.244453,5461700
2016-10-20,100.000000,108.000000,98.919998,101.680000,101.240128,5858900
2016-10-21,103.680000,105.559998,101.239998,101.440002,101.001167,4363000
2016-10-24,98.000000,113.320000,97.559998,109.279999,108.807243,5325100
2016-10-25,105.839996,108.879997,96.120003,99.760002,99.328430,5993200
2016-10-26,99.720001,109.800003,97.959999,107.080002,106.616768,5740900
2016-10-27,105.599998,118.080002,105.400002,116.320000,115.816795,6930700
2016-10-28,116.839996,122.000000,106.879997,116.680000,116.175232,7939700
2016-10-31,116.639999,119.680000,107.320000,107.599998,107.134514,4743500
2016-11-01,98.120003,102.320000,92.000000,97.040001,96.620201,7305800
2016-11-02,89.839996,104.599998,86.279999,101.720001,101.279953,10401900
2016-11-03,103.959999,103.959999,92.680000,94.120003,93.712830,7002500
2016-11-04,94.080002,103.400002,93.879997,98.800003,98.372589,6453600
2016-11-07,108.400002,115.519997,106.919998,110.519997,110.041878,5063300
2016-11-08,108.480003,120.559998,102.000000,115.360001,114.860947,6505700
2016-11-09,91.519997,118.239998,91.199997,107.239998,106.776070,10009700
2016-11-10,112.279999,132.759995,111.440002,129.559998,128.999512,6575600
2016-11-11,130.639999,169.160004,130.520004,163.479996,162.772766,11862900
2016-11-14,175.919998,184.039993,139.000000,153.479996,152.816025,6833500
2016-11-15,152.440002,156.559998,124.800003,130.080002,129.517273,6298500
2016-11-16,132.119995,145.919998,129.360001,140.919998,140.310379,5580200
2016-11-17,140.360001,162.399994,129.440002,153.240005,152.577072,7552200
2016-11-18,158.320007,165.600006,152.279999,154.160004,153.493103,5061000
2016-11-21,144.000000,151.240005,137.919998,145.600006,144.970123,4412600
2016-11-22,141.320007,154.919998,138.000000,138.639999,138.040222,4730000
2016-11-23,156.399994,165.000000,154.160004,160.440002,159.745911,5485400
2016-11-25,153.080002,164.000000,149.639999,160.839996,160.144180,2298900
2016-11-28,154.360001,160.440002,138.440002,141.279999,140.668808,4629000
2016-11-29,152.000000,155.199997,140.520004,143.360001,142.739807,4053700
2016-11-30,148.479996,155.080002,145.880005,151.080002,150.426422,3369300
2016-12-01,153.360001,162.199997,138.880005,152.520004,151.860184,4356400
2016-12-02,146.279999,146.479996,134.800003,136.559998,135.969238,3908600
2016-12-05,143.520004,150.479996,129.119995,134.800003,134.216843,4525000
2016-12-06,135.080002,138.839996,126.000000,136.240005,135.650604,2880200
2016-12-07,128.839996,134.679993,124.120003,130.839996,130.273972,3344000
2016-12-08,131.759995,136.360001,129.720001,130.199997,129.636734,2816900
2016-12-09,134.800003,152.000000,132.919998,149.520004,148.873169,4264400
2016-12-12,144.080002,151.119995,137.839996,149.440002,148.793518,3442800
2016-12-13,148.679993,155.000000,145.039993,147.320007,146.682678,2581400
2016-12-14,142.000000,175.600006,137.479996,174.880005,174.123474,6722900
2016-12-15,191.399994,211.360001,188.520004,205.080002,204.192795,5965600
2016-12-16,195.160004,222.240005,188.279999,213.639999,212.715775,6044100
2016-12-19,203.839996,220.320007,202.679993,213.080002,212.158188,2948900
2016-12-20,229.839996,237.440002,209.240005,211.080002,210.166840,3820600
2016-12-21,209.639999,220.000000,206.199997,218.600006,217.654312,1682900
2016-12-22,220.080002,223.080002,202.639999,217.800003,216.857773,2589100
2016-12-23,216.559998,219.839996,208.000000,209.279999,208.374634,1638700
2016-12-27,201.399994,204.360001,186.000000,186.399994,185.593613,2186600
2016-12-28,190.759995,196.119995,167.279999,167.679993,166.954590,2702200
2016-12-29,163.080002,165.919998,121.040001,122.000000,121.472221,5558200
2016-12-30,120.760002,142.559998,112.720001,140.360001,139.752792,7323600
2017-01-03,138.080002,138.839996,114.000000,114.480003,113.984756,5624100
2017-01-04,109.199997,117.959999,108.000000,109.239998,108.767418,6715800
2017-01-05,99.000000,99.839996,77.519997,80.879997,80.530106,13978400
2017-01-06,86.919998,99.800003,80.199997,91.440002,91.044426,16802800
2017-01-09,84.120003,90.080002,76.959999,87.279999,86.902412,13905500
